model_name,pair,rows,take_rows,take_rate,baseline_mean_return,baseline_profit_factor,baseline_sharpe,baseline_drawdown,taken_mean_return,taken_profit_factor,taken_sharpe,taken_drawdown,taken_win_rate,skipped_mean_return
logistic_regression,BTCUSDT-ETHUSDT,22,0,0.0,-0.029016241218667714,0.0,-16.271230799263893,0.4557740903701061,0.0,0.0,0.0,0.0,0.0,-0.029016241218667714
gradient_boosting_fallback,BTCUSDT-SOLUSDT,22,10,0.45454545454545453,0.013901578155979116,9.080709991173544,4.542660297133142,0.01999344869658551,0.024594511327038937,5.0,10.580511882115886,0.0,1.0,0.004990800513429266
logistic_regression,BTCUSDT-SOLUSDT,22,13,0.5909090909090909,0.013901578155979116,9.080709991173544,4.542660297133142,0.01999344869658551,0.0240586888323923,5.0,12.341828793298573,0.0,1.0,-0.0007698039321732554
gradient_boosting_fallback,DOGE-USD-LTC-USD,24,0,0.0,-0.09147662177993388,0.027331101636120132,-6.886967585239824,0.8926164250980883,0.0,0.0,0.0,0.0,0.0,-0.09147662177993388
logistic_regression,DOGE-USD-LTC-USD,24,0,0.0,-0.09147662177993388,0.027331101636120132,-6.886967585239824,0.8926164250980883,0.0,0.0,0.0,0.0,0.0,-0.09147662177993388
gradient_boosting_fallback,DOGE-USD-XRP-USD,25,0,0.0,-0.07386962968695766,0.06757372790969003,-6.403892746581433,0.8414824259221076,0.0,0.0,0.0,0.0,0.0,-0.07386962968695766
logistic_regression,DOGE-USD-XRP-USD,25,7,0.28,-0.07386962968695766,0.06757372790969003,-6.403892746581433,0.8414824259221076,-0.08876312846010741,0.04808629469878454,-4.521558510902403,0.43507051904333116,0.14285714285714285,-0.06807771349739944
gradient_boosting_fallback,ETH-USD-AVAX-USD,25,5,0.2,0.060218865458759485,5.0,12.003233261665672,0.0,0.0611799239049729,5.0,6.41969428977211,0.0,1.0,0.05997860084720613
logistic_regression,ETH-USD-AVAX-USD,25,4,0.16,0.060218865458759485,5.0,12.003233261665672,0.0,0.06082561054008255,5.0,5.108838010779054,0.0,1.0,0.060103294967078905
gradient_boosting_fallback,ETH-USD-LINK-USD,50,16,0.32,-0.2856525353556291,0.015304064041206036,-7.226891884160554,0.9999999989049685,-0.5586777848430097,0.0,-9.782729533719957,0.9999985537409876,0.0,-0.15717006500862646
logistic_regression,ETH-USD-LINK-USD,50,9,0.18,-0.2856525353556291,0.015304064041206036,-7.226891884160554,0.9999999989049685,-0.08533014060543528,0.0,-9.362527990153152,0.48945376008719543,0.0,-0.3296257439593302
gradient_boosting_fallback,ETH-USD-SOL-USD,70,15,0.21428571428571427,-0.08036700929816638,0.15391658040978737,-4.186819185372339,0.9997495384217578,-0.08655357247354484,0.29961581147295124,-1.2912995617007044,0.9402496985896094,0.7333333333333333,-0.07867976479579046
logistic_regression,ETH-USD-SOL-USD,70,36,0.5142857142857142,-0.08036700929816638,0.15391658040978737,-4.186819185372339,0.9997495384217578,-0.024972062844379292,0.4949975177234162,-1.624242846047926,0.8453189624499687,0.4722222222222222,-0.13902048201394093
gradient_boosting_fallback,ETHUSDT-SOLUSDT,22,13,0.5909090909090909,0.024260290057603082,5.0,9.001140404834564,0.0,0.034086588097756325,5.0,22.34465598377643,0.0,1.0,0.0100667484440484
logistic_regression,ETHUSDT-SOLUSDT,22,13,0.5909090909090909,0.024260290057603082,5.0,9.001140404834564,0.0,0.034086588097756325,5.0,22.34465598377643,0.0,1.0,0.0100667484440484
gradient_boosting_fallback,SOL-USD-AVAX-USD,22,0,0.0,-0.017584751086138897,0.15080098638590478,-3.848030456764764,0.32494970286775704,0.0,0.0,0.0,0.0,0.0,-0.017584751086138897
logistic_regression,SOL-USD-AVAX-USD,22,0,0.0,-0.017584751086138897,0.15080098638590478,-3.848030456764764,0.32494970286775704,0.0,0.0,0.0,0.0,0.0,-0.017584751086138897
gradient_boosting_fallback,SOL-USD-LINK-USD,21,0,0.0,-0.04886545212541528,0.0,-6.173444474193051,0.6198061785202778,0.0,0.0,0.0,0.0,0.0,-0.04886545212541528
logistic_regression,SOL-USD-LINK-USD,21,0,0.0,-0.04886545212541528,0.0,-6.173444474193051,0.6198061785202778,0.0,0.0,0.0,0.0,0.0,-0.04886545212541528
