trade_id,pair,strategy_id,strategy_name,family,backtest_mode,entry_timestamp,exit_timestamp,entry_bar_index,exit_bar_index,trade_bars,signal_side,label_profitable,realized_return,gross_trade_return,trade_cost_drag,entry_zscore,entry_abs_zscore,zscore_change_1,zscore_change_3,spread_level,spread_change_1,spread_change_3,spread_vol_12,spread_vol_48,hedge_ratio,hedge_ratio_stability,beta,realized_volatility_percentile,cvar,var,tail_dependence,crisis_probability,liquidity_score,bid_ask_spread_bps,slippage_bps,volume_x_usd,volume_y_usd,funding_x_bps,funding_y_bps,funding_diff_bps,funding_abs_total_bps,funding_bps_per_day,regime,regime_strategy_match,cointegration_pvalue,ecm_strength,ecm_x,ecm_y,half_life,hurst,conditional_probability_distortion,copula_calibration_score,u1_given_u2,u2_given_u1,composite_score,ml_confidence,profile_match,ou_optimal
BTCUSDT-ETHUSDT|23|2026-06-23T13:05:00+00:00|1,BTCUSDT-ETHUSDT,23,KMeans Regime Model,regime,two_leg,2026-06-23 13:05:00+00:00,2026-06-26T21:45:00+00:00,31,999,969,long_spread,0,-0.0264443056219131,-0.0168609722885798,0.0095833333333333,-2.321957853597734,2.321957853597734,-0.4658449350865126,-1.2601953171569378,60467.380000000005,-77.68999999999505,-179.61000000000058,32.228783107746004,49.70804414899458,1.0,0.9992862149885,1.0,0.116,261.4848000000001,157.57500000000036,0.4009805277395489,0.0928,1.0,5.0,5.0,5529450.053037,1530741.28774,0.0,0.0,0.0,0.0,0.0,range,0.5,3.85036932515348e-05,0.0041647924557914,-7.877748303149488e-05,-4.039700953661262e-05,50.27102219061083,0.4965766041244582,-0.6492412369742301,0.824620618487115,0.1753793815128849,0.824620618487115,56.83859305659526,0.5918406548552515,0.48297148889428,0.5609133368033161
BTCUSDT-ETHUSDT|20|2026-06-23T13:05:00+00:00|1,BTCUSDT-ETHUSDT,20,Dynamic Threshold Model,adaptive,two_leg,2026-06-23 13:05:00+00:00,2026-06-26T21:45:00+00:00,31,999,969,long_spread,0,-0.0221512834226631,-0.0081279500893298,0.0140233333333333,-2.321957853597734,2.321957853597734,-0.4658449350865126,-1.2601953171569378,60467.380000000005,-77.68999999999505,-179.61000000000058,32.228783107746004,49.70804414899458,1.0,0.9992862149885,1.0,0.116,261.4848000000001,157.57500000000036,0.4009805277395489,0.0928,1.0,5.0,5.0,5529450.053037,1530741.28774,0.0,0.0,0.0,0.0,0.0,range,0.5,3.85036932515348e-05,0.0041647924557914,-7.877748303149488e-05,-4.039700953661262e-05,50.27102219061083,0.4965766041244582,-0.6492412369742301,0.824620618487115,0.1753793815128849,0.824620618487115,56.83859305659526,0.5918406548552515,0.48297148889428,0.5609133368033161
BTCUSDT-SOLUSDT|30|2026-06-23T13:10:00+00:00|1,BTCUSDT-SOLUSDT,30,Meta Model,ml,two_leg,2026-06-23 13:10:00+00:00,2026-06-26T21:45:00+00:00,32,999,968,long_spread,1,0.0229323448390788,0.0347315115057454,0.0117991666666666,-1.6471329160593786,1.6471329160593786,0.6651438038589625,-0.225461785225961,62115.02,65.82999999999447,-72.59999999999854,42.085120049077624,51.80848908266066,1.0,0.9992877868369214,1.0,0.1155,269.7639999999995,164.08599999999788,0.4025423887337355,0.0924,1.0,5.0,5.0,6277477.7154903,435570.24903,0.0,0.0,0.0,0.0,0.0,range,0.5,7.510115828113229e-07,0.0071262645733377,-7.407722820242702e-05,-0.0001352045833531,12.018553215981166,0.4859896200612528,-0.4998035950555567,0.7499017975277784,0.2500982024722216,0.7499017975277784,56.804631528028295,0.6224989232474626,0.5002084965273201,0.6231811521687478
BTCUSDT-ETHUSDT|30|2026-06-23T13:10:00+00:00|1,BTCUSDT-ETHUSDT,30,Meta Model,ml,two_leg,2026-06-23 13:10:00+00:00,2026-06-26T21:45:00+00:00,32,999,968,long_spread,0,-0.023639902851827,-0.0118407361851604,0.0117991666666666,-1.657284152013785,1.657284152013785,0.6646737015839488,-0.2191191912775412,60531.29,63.90999999999622,-70.77999999999884,41.051119674317704,50.43582768743091,1.0,0.9992862149885,1.0,0.116,261.4848000000001,157.57500000000036,0.4009805277395489,0.0928,1.0,5.0,5.0,6277477.7154903,2074465.503284,0.0,0.0,0.0,0.0,0.0,range,0.5,3.85036932515348e-05,0.0041647924557914,-7.343110721416994e-05,-3.765539370214322e-05,12.299297355195089,0.4863004926738534,-0.5023377730038538,0.7511688865019269,0.248831113498073,0.7511688865019269,56.83859305659526,0.6227666642376383,0.4994008805327753,0.622401876225779
ETHUSDT-SOLUSDT|17|2026-06-23T13:20:00+00:00|1,ETHUSDT-SOLUSDT,17,Proprietary Signal Stack,composite,two_leg,2026-06-23 13:20:00+00:00,2026-06-26T21:45:00+00:00,34,999,966,long_spread,1,0.0278779939255484,0.0441088272588817,0.0162308333333333,-1.5744682169680675,1.5744682169680675,-0.0385692216531705,0.1282944264333103,1581.53,-0.4300000000000636,-0.2800000000002001,1.46232976217177,1.5940547129278304,1.0,0.9989709254567382,1.0,0.1005,8.893400000000007,4.9910000000000085,0.440669776196453,0.0804,1.0,5.0,5.0,1789073.28857,598640.91761,0.0,0.0,0.0,0.0,0.0,range,0.5,0.000629801449277,0.0120350892273742,-7.674080031488943e-05,-0.0001728968431486,8.09255066976047,0.4794782881008164,-0.4814136308245109,0.7407068154122555,0.2592931845877445,0.7407068154122555,55.86890875113949,0.73163536450363,0.6136648332640258,0.7109247627405499
ETHUSDT-SOLUSDT|16|2026-06-23T13:20:00+00:00|1,ETHUSDT-SOLUSDT,16,Profile Match,ml,two_leg,2026-06-23 13:20:00+00:00,2026-06-26T21:45:00+00:00,34,999,966,long_spread,1,0.0358353893389407,0.047626222672274,0.0117908333333333,-1.5744682169680675,1.5744682169680675,-0.0385692216531705,0.1282944264333103,1581.53,-0.4300000000000636,-0.2800000000002001,1.46232976217177,1.5940547129278304,1.0,0.9989709254567382,1.0,0.1005,8.893400000000007,4.9910000000000085,0.440669776196453,0.0804,1.0,5.0,5.0,1789073.28857,598640.91761,0.0,0.0,0.0,0.0,0.0,range,0.5,0.000629801449277,0.0120350892273742,-7.674080031488943e-05,-0.0001728968431486,8.09255066976047,0.4794782881008164,-0.4814136308245109,0.7407068154122555,0.2592931845877445,0.7407068154122555,55.86890875113949,0.73163536450363,0.6136648332640258,0.7109247627405499
BTCUSDT-SOLUSDT|16|2026-06-23T13:20:00+00:00|1,BTCUSDT-SOLUSDT,16,Profile Match,ml,two_leg,2026-06-23 13:20:00+00:00,2026-06-26T21:45:00+00:00,34,999,966,long_spread,1,0.0198855682766294,0.0316764016099627,0.0117908333333333,-1.9024603714016373,1.9024603714016373,0.0543097896029605,0.4098163485167039,62048.36,-10.7300000000032,-0.8300000000017462,43.375608798449534,51.01271018176796,1.0,0.9992877868369214,1.0,0.1155,269.7639999999995,164.08599999999788,0.4025423887337355,0.0924,1.0,5.0,5.0,3128460.9928773,598640.91761,0.0,0.0,0.0,0.0,0.0,range,0.5,7.510115828113229e-07,0.0071262645733377,-7.47419821565732e-05,-0.0001364178817389,28.12868547016721,0.4939147828893901,-0.5609055635934669,0.7804527817967335,0.2195472182032665,0.7804527817967335,56.804631528028295,0.7428763736370395,0.6062385242565606,0.68110667944407
BTCUSDT-ETHUSDT|16|2026-06-23T13:20:00+00:00|1,BTCUSDT-ETHUSDT,16,Profile Match,ml,two_leg,2026-06-23 13:20:00+00:00,2026-06-26T21:45:00+00:00,34,999,966,long_spread,0,-0.0224825400202993,-0.010691706686966,0.0117908333333333,-1.906079331022984,1.906079331022984,0.0563912507259789,0.4158785225747503,60466.83,-10.30000000000291,-0.5500000000029104,42.30790079520531,49.64784578496253,1.0,0.9992862149885,1.0,0.116,261.4848000000001,157.57500000000036,0.4009805277395489,0.0928,1.0,5.0,5.0,3128460.9928773,1789073.28857,0.0,0.0,0.0,0.0,0.0,range,0.5,3.85036932515348e-05,0.0041647924557914,-7.410207084164995e-05,-3.7999463136897736e-05,29.269153756382615,0.4941490955248482,-0.5617317976215368,0.7808658988107684,0.2191341011892316,0.7808658988107684,56.83859305659526,0.7440209075658042,0.6062526265867854,0.6801843528776369
BTCUSDT-ETHUSDT|17|2026-06-23T13:20:00+00:00|1,BTCUSDT-ETHUSDT,17,Proprietary Signal Stack,composite,two_leg,2026-06-23 13:20:00+00:00,2026-06-26T21:45:00+00:00,34,999,966,long_spread,0,-0.0243599600614497,-0.0125691267281164,0.0117908333333333,-1.906079331022984,1.906079331022984,0.0563912507259789,0.4158785225747503,60466.83,-10.30000000000291,-0.5500000000029104,42.30790079520531,49.64784578496253,1.0,0.9992862149885,1.0,0.116,261.4848000000001,157.57500000000036,0.4009805277395489,0.0928,1.0,5.0,5.0,3128460.9928773,1789073.28857,0.0,0.0,0.0,0.0,0.0,range,0.5,3.85036932515348e-05,0.0041647924557914,-7.410207084164995e-05,-3.7999463136897736e-05,29.269153756382615,0.4941490955248482,-0.5617317976215368,0.7808658988107684,0.2191341011892316,0.7808658988107684,56.83859305659526,0.7440209075658042,0.6062526265867854,0.6801843528776369
BTCUSDT-SOLUSDT|17|2026-06-23T13:20:00+00:00|1,BTCUSDT-SOLUSDT,17,Proprietary Signal Stack,composite,two_leg,2026-06-23 13:20:00+00:00,2026-06-26T21:45:00+00:00,34,999,966,long_spread,1,0.0182045126770035,0.0299953460103368,0.0117908333333333,-1.9024603714016373,1.9024603714016373,0.0543097896029605,0.4098163485167039,62048.36,-10.7300000000032,-0.8300000000017462,43.375608798449534,51.01271018176796,1.0,0.9992877868369214,1.0,0.1155,269.7639999999995,164.08599999999788,0.4025423887337355,0.0924,1.0,5.0,5.0,3128460.9928773,598640.91761,0.0,0.0,0.0,0.0,0.0,range,0.5,7.510115828113229e-07,0.0071262645733377,-7.47419821565732e-05,-0.0001364178817389,28.12868547016721,0.4939147828893901,-0.5609055635934669,0.7804527817967335,0.2195472182032665,0.7804527817967335,56.804631528028295,0.7428763736370395,0.6062385242565606,0.68110667944407
ETH-USD-SOL-USD|24|2026-06-23T13:40:00+00:00|1,ETH-USD-SOL-USD,24,Regime Filtered Stat-Arb,regime,two_leg,2026-06-23 13:40:00+00:00,2026-06-26T13:55:00+00:00,42,909,868,short_spread,1,0.0682274671447616,0.0722826543782867,0.004055187233525,2.578335889288718,2.578335889288718,1.8469397935391276,4.037154786783301,47.78310254597818,4.946637745548287,10.134033565555,2.073195332980278,2.4799645847506784,23.403356555517107,0.9439488376702132,0.64443223216449,0.5406593406593406,7.964320924288873,5.365438980704482,0.6607704173418827,0.4325274725274725,1.0,5.0,5.0,197745.2972,227.007,0.07625,-0.0087499999999999,-0.0849999999999999,0.0849999999999999,0.0,bull,0.5,0.2205439567429279,0.0015383275323741,-6.09236429503287e-05,-7.092201165541686e-05,2.0,0.3865906375633685,0.6959717650061702,0.847985882503085,0.847985882503085,0.1520141174969149,49.06062052935793,0.6139323716737539,0.3699530983713319,0.6262546816330997
ETH-USD-SOL-USD|23|2026-06-23T13:40:00+00:00|1,ETH-USD-SOL-USD,23,KMeans Regime Model,regime,two_leg,2026-06-23 13:40:00+00:00,2026-06-26T13:55:00+00:00,42,909,868,short_spread,1,0.0583084037530564,0.0623635909865815,0.004055187233525,2.578335889288718,2.578335889288718,1.8469397935391276,4.037154786783301,47.78310254597818,4.946637745548287,10.134033565555,2.073195332980278,2.4799645847506784,23.403356555517107,0.9439488376702132,0.64443223216449,0.5406593406593406,7.964320924288873,5.365438980704482,0.6607704173418827,0.4325274725274725,1.0,5.0,5.0,197745.2972,227.007,0.07625,-0.0087499999999999,-0.0849999999999999,0.0849999999999999,0.0,bull,0.5,0.2205439567429279,0.0015383275323741,-6.09236429503287e-05,-7.092201165541686e-05,2.0,0.3865906375633685,0.6959717650061702,0.847985882503085,0.847985882503085,0.1520141174969149,49.06062052935793,0.6139323716737539,0.3699530983713319,0.6262546816330997
ETHUSDT-SOLUSDT|20|2026-06-23T14:00:00+00:00|1,ETHUSDT-SOLUSDT,20,Dynamic Threshold Model,adaptive,two_leg,2026-06-23 14:00:00+00:00,2026-06-26T21:45:00+00:00,42,999,958,short_spread,1,0.0312394452221488,0.0429969452221488,0.0117575,1.9639009933174143,1.9639009933174143,0.3027838482099085,1.2889461088531666,1595.2,1.5700000000001637,5.559999999999945,3.0070043232425614,2.0830361785754397,1.0,0.9989709254567382,1.0,0.1005,8.893400000000007,4.9910000000000085,0.440669776196453,0.0804,1.0,5.0,5.0,1932640.721109,898099.44124,0.0,0.0,0.0,0.0,0.0,range,0.5,0.000629801449277,0.0120350892273742,-0.0001014054186683,-0.0002284661704592,5.5033419767418055,0.4704146817491056,0.5747810553209637,0.7873905276604818,0.7873905276604818,0.2126094723395181,55.86890875113949,0.5702992678970926,0.3638314985402957,0.5471619434912557
ETHUSDT-SOLUSDT|24|2026-06-23T14:10:00+00:00|1,ETHUSDT-SOLUSDT,24,Regime Filtered Stat-Arb,regime,two_leg,2026-06-23 14:10:00+00:00,2026-06-26T21:45:00+00:00,44,999,956,short_spread,1,0.0413615705570221,0.0486707372236887,0.0073091666666666,2.4442481650190766,2.4442481650190766,0.8883986755033162,0.7831310199115706,1598.19,4.310000000000173,4.560000000000173,3.0731402358321644,2.1376736851902933,1.0,0.9989709254567382,1.0,0.1005,8.893400000000007,4.9910000000000085,0.440669776196453,0.0804,1.0,5.0,5.0,1477791.715388,956493.69186,0.0,0.0,0.0,0.0,0.0,range,0.5,0.000629801449277,0.0120350892273742,-0.0001019337952397,-0.0002296566016355,7.989102576814096,0.4792239184379685,0.6722019292742301,0.836100964637115,0.836100964637115,0.1638990353628849,55.86890875113949,0.5608724662902655,0.3540797620641376,0.5291786999046092
ETHUSDT-SOLUSDT|3|2026-06-23T14:10:00+00:00|1,ETHUSDT-SOLUSDT,3,ZScore + Copula,hybrid,two_leg,2026-06-23 14:10:00+00:00,2026-06-26T21:45:00+00:00,44,999,956,short_spread,1,0.0413615705570221,0.0486707372236887,0.0073091666666666,2.4442481650190766,2.4442481650190766,0.8883986755033162,0.7831310199115706,1598.19,4.310000000000173,4.560000000000173,3.0731402358321644,2.1376736851902933,1.0,0.9989709254567382,1.0,0.1005,8.893400000000007,4.9910000000000085,0.440669776196453,0.0804,1.0,5.0,5.0,1477791.715388,956493.69186,0.0,0.0,0.0,0.0,0.0,range,0.5,0.000629801449277,0.0120350892273742,-0.0001019337952397,-0.0002296566016355,7.989102576814096,0.4792239184379685,0.6722019292742301,0.836100964637115,0.836100964637115,0.1638990353628849,55.86890875113949,0.5608724662902655,0.3540797620641376,0.5291786999046092
ETHUSDT-SOLUSDT|1|2026-06-23T14:10:00+00:00|1,ETHUSDT-SOLUSDT,1,Classic ZScore Mean Reversion,zscore,two_leg,2026-06-23 14:10:00+00:00,2026-06-26T21:45:00+00:00,44,999,956,short_spread,1,0.0413615705570221,0.0486707372236887,0.0073091666666666,2.4442481650190766,2.4442481650190766,0.8883986755033162,0.7831310199115706,1598.19,4.310000000000173,4.560000000000173,3.0731402358321644,2.1376736851902933,1.0,0.9989709254567382,1.0,0.1005,8.893400000000007,4.9910000000000085,0.440669776196453,0.0804,1.0,5.0,5.0,1477791.715388,956493.69186,0.0,0.0,0.0,0.0,0.0,range,0.5,0.000629801449277,0.0120350892273742,-0.0001019337952397,-0.0002296566016355,7.989102576814096,0.4792239184379685,0.6722019292742301,0.836100964637115,0.836100964637115,0.1638990353628849,55.86890875113949,0.5608724662902655,0.3540797620641376,0.5291786999046092
DOGE-USD-LTC-USD|24|2026-06-23T14:55:00+00:00|1,DOGE-USD-LTC-USD,24,Regime Filtered Stat-Arb,regime,two_leg,2026-06-23 14:55:00+00:00,2026-06-26T14:00:00+00:00,146,999,854,short_spread,1,0.0447444138394657,0.0487767519311589,0.0040323380916931,3.288388473018927,3.288388473018927,2.323166449848265,2.4539597242143403,-0.0024779880042482,0.0009952966089705,0.0010527175671804,0.0002865797544913,0.0001613073682361,0.001914031940328,0.9673584229453396,0.3088714440136361,0.644,0.0005844759448409,0.0002985825858279,0.4549328188274825,0.5152,0.068759245,18.968611325,14.31240755,0.0,4990.151,0.0,0.4649999999999999,0.4649999999999999,0.4649999999999999,0.0,bull,0.5,0.5344645908409296,0.0275389171550489,7.234153524816724e-06,-8.27225635776934e-05,68.96756393652842,0.4975,0.7991044158385532,0.8995522079192766,0.8995522079192766,0.1004477920807234,67.76409836128934,0.5165302701486418,0.3616985367083255,0.4441535923763486
DOGE-USD-XRP-USD|22|2026-06-23T15:50:00+00:00|1,DOGE-USD-XRP-USD,22,GMM Regime Model,regime,two_leg,2026-06-23 15:50:00+00:00,2026-06-26T14:00:00+00:00,157,999,843,long_spread,0,-0.0690905772709367,-0.0648943071189219,0.0041962701520148,-2.1381745171629434,2.1381745171629434,0.0387281844587619,-0.2152744168474307,-0.0051654471086035,0.0,-0.00019,0.0001922179161075,0.0001397850583216,0.0755683293588592,0.9392830934827644,0.2757160913510504,0.9,0.0005523289228275,0.0002907899128909,0.3849336095616845,0.7200000000000001,0.068759245,18.968611325,14.31240755,0.0,0.0,0.0,-0.15,-0.15,0.15,0.0,bear,0.5,0.7078462283789921,0.0469582263274765,0.0001843421610506,-0.0002767523620915,68.96756393652842,0.4975,-0.6123826652926423,0.8061913326463211,0.1938086673536788,0.8061913326463211,65.04687366392291,0.7353640060871376,0.6884759373851346,0.6752422607821168
ETH-USD-LINK-USD|24|2026-06-23T16:10:00+00:00|1,ETH-USD-LINK-USD,24,Regime Filtered Stat-Arb,regime,two_leg,2026-06-23 16:10:00+00:00,2026-06-26T13:55:00+00:00,162,999,838,short_spread,0,-0.0765216306181912,-0.070304800688004,0.0062168299301871,2.8927780807414423,2.8927780807414423,2.494752533423296,3.066705989394093,-70.93251250679532,23.640166751928973,28.87705134763769,10.17948534244836,6.893394594085136,231.28418912729623,0.9466649097069164,0.2359970246775976,0.988,13.59444648724947,6.903730147553222,0.4274107195166976,0.7904,1.0,5.0,5.0,506859.503,75.32,0.005,0.0,-0.005,0.005,0.0,bull,0.5,0.7950749832963241,0.0815634123790516,-1.5932399896763343e-05,0.0001123526073798,3.0901071818113297,0.4497665076090491,0.7461707479574059,0.873085373978703,0.873085373978703,0.126914626021297,39.944544655247114,0.6436278414936774,0.4735281816957977,0.6288498287196865
