regime,strategy_name,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,median_gross_return,median_total_return,median_cost_drag,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,median_avg_gross_exposure,total_trades,two_leg_runs,spread_runs
bull,Pure Copula,2,0,0.25698263866966203,-14.556304784940618,0.07898586279334818,-0.03261466220879039,-0.05486577377433177,0.02225111156554138,0.01875,0.018000000000000002,0.00025276568666243336,0.009000000000000001,0.00030000000000000003,0.9913793103448276,16,2,0
crisis,Copula + Regime Strategy,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
crisis,Copula Risk Filter,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
crisis,Dual Conditional Copula,2,0,0.8102245667393666,-0.6827469623003319,0.11107071520350123,0.02128753156322949,-0.02436901804634467,0.04565654960957416,0.026250000000000002,0.0252,0.027616666666666678,0.0126,0.00042000000000000007,0.9993968636911942,22,2,0
crisis,Copula Divergence Persistence,2,0,0.7531695763746566,-0.925557224427242,0.1183860464470951,0.012352239189081349,-0.03304706363817922,0.04539930282726057,0.026250000000000002,0.0252,0.027616666666666678,0.0126,0.00042000000000000007,0.9993968636911942,22,2,0
crisis,Tail Event Reversion,2,0,0.6731541377435273,-1.2162385579179298,0.1266187424461512,-0.008752481579002103,-0.041444453584522534,0.03269197200552043,0.01625,0.015600000000000003,0.027616666666666678,0.007800000000000001,0.00026000000000000003,0.9993968636911942,14,2,0
crisis,Copula Dislocation Ranking Engine,2,0,0.4589771947337289,-2.4469505351544028,0.1382545325580274,-0.025054150075507264,-0.0800422311423512,0.05498808106684394,0.036250000000000004,0.034800000000000005,0.027616666666666678,0.017400000000000002,0.0005800000000000002,0.9993968636911942,30,2,0
crisis,Pure Copula,2,0,0.38861991422705205,-2.9320984869522118,0.1522890540618187,-0.046756676291574206,-0.0950285450256041,0.04827186873402989,0.03125,0.03,0.027616666666666678,0.015,0.0005000000000000001,0.9993968636911942,26,2,0
range,Copula Risk Filter,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
range,Copula Dislocation Ranking Engine,4,0,0.14841484258152804,-5.989858170678973,0.203086959771078,-0.050362708018863,-0.1784458362498768,0.1280831282310138,0.26,0.2496,0.17361757471746597,0.1248,0.0041600000000000005,0.9993005977568752,210,4,0
range,Tail Event Reversion,4,0,0.14394283918968076,-4.735364047387726,0.1562109695202959,-0.05270381546763048,-0.13339954606907606,0.08069573060144558,0.135,0.12960000000000002,0.17361757471746597,0.06480000000000001,0.00216,0.9993005977568752,110,4,0
range,Dual Conditional Copula,4,0,0.12896516072181025,-4.750015842470695,0.17036602317483018,-0.053660374040459424,-0.14789162811094753,0.0942312540704881,0.17500000000000002,0.168,0.17361757471746597,0.084,0.0028000000000000004,0.9993005977568752,142,4,0
range,Copula + Regime Strategy,4,0,0.11747826485552998,-5.567956687615958,0.18654743773729937,-0.05823465786137921,-0.1645101311533041,0.10627547329192488,0.20500000000000002,0.19680000000000003,0.17361757471746597,0.09840000000000002,0.0032800000000000004,0.9993005977568752,166,4,0
range,Pure Copula,4,0,0.11747826485552998,-5.567956687615958,0.18654743773729937,-0.05823465786137921,-0.1645101311533041,0.10627547329192488,0.20500000000000002,0.19680000000000003,0.17361757471746597,0.09840000000000002,0.0032800000000000004,0.9993005977568752,166,4,0
range,Copula Divergence Persistence,4,0,0.10576083359858957,-5.725209934646906,0.17778049374357038,-0.04678576579408278,-0.155536735530659,0.10875096973657622,0.20500000000000002,0.19680000000000003,0.17361757471746597,0.09840000000000002,0.0032800000000000004,0.9993005977568752,166,4,0
