pair,threshold,cost_bucket,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,observations,passes_trade_gate,passes_quality_gate
BTC-USD-LINK-USD,2.0,base,74,0.7907397284231394,-0.0017397780733144652,-0.3787750998951791,0.2751485556856603,0.4864864864864865,-0.1391498464259432,0.07249627178307039,0.07350000000000001,0.058800000000000005,0.056236140155736775,0.029400000000000003,0.00147,23999,False,False
BTC-USD-LINK-USD,2.0,stress,74,0.6297179722288,-0.003428291586827978,-0.7366549535192985,0.3220921328106405,0.40540540540540543,-0.2406939705577007,0.07249627178307039,0.11025000000000001,0.11760000000000001,0.056236140155736775,0.058800000000000005,0.00147,23999,False,False
BNB-USD-LINK-USD,1.0,base,72,0.2946050010193916,-0.007256765130857379,-2.831038396459922,0.4244920903277379,0.1527777777777778,-0.41430700387181485,-0.3120354518341206,0.07150000000000001,0.05720000000000001,0.0012639573686560384,0.028600000000000004,0.0014300000000000003,12000,False,False
BNB-USD-LINK-USD,1.0,stress,72,0.23864221320534984,-0.008944959575301824,-3.363645689369682,0.49041944922749925,0.125,-0.48184241513381654,-0.3120354518341206,0.10725000000000001,0.11440000000000002,0.0012639573686560384,0.05720000000000001,0.0014300000000000003,12000,False,False
ETH-USD-LINK-USD,2.0,base,67,0.6062411541027315,-0.005059497657807314,-0.7749779263857636,0.3985265509974765,0.40298507462686567,-0.31198875524623104,-0.1806090098365638,0.0665,0.0532,0.026683685239123858,0.0266,0.00133,23999,False,False
ETH-USD-LINK-USD,2.0,stress,67,0.5144718635836463,-0.0067468110906431355,-1.025360277138864,0.45718599981639474,0.373134328358209,-0.38587776876538293,-0.1806090098365638,0.09975,0.1064,0.026683685239123858,0.0532,0.00133,23999,False,False
BNB-USD-LINK-USD,1.25,base,60,0.3078879005188437,-0.007767706374821232,-2.5458411771725937,0.3927569889279142,0.13333333333333333,-0.38018227584270137,-0.2912366982394414,0.0595,0.0476,0.0012639573686560384,0.0238,0.00119,12000,False,False
BNB-USD-LINK-USD,1.25,stress,60,0.2570040420051867,-0.009453539708154568,-3.0068834047118127,0.45112980412696674,0.11666666666666667,-0.4402405979535551,-0.2912366982394414,0.08925,0.0952,0.0012639573686560384,0.0476,0.00119,12000,False,False
BTC-USD-LINK-USD,2.25,base,58,0.8244269420375959,-0.0017876429547617227,-0.30553069954677414,0.32339728294670766,0.3793103448275862,-0.11724477362376406,0.061336823231319615,0.05750000000000001,0.046,0.056236140155736775,0.023,0.00115,23999,False,False
BTC-USD-LINK-USD,2.25,stress,58,0.6905273923731376,-0.00347298778234793,-0.5872325181578331,0.35057565630938453,0.3793103448275862,-0.1998194188984359,0.061336823231319615,0.08625000000000002,0.092,0.056236140155736775,0.046,0.00115,23999,False,False
BNB-USD-LINK-USD,1.5,base,52,0.28617457898829896,-0.008897575367735411,-2.531727116947555,0.39541238988147365,0.15384615384615385,-0.37805212466130445,-0.3013501065517673,0.051500000000000004,0.0412,0.0012639573686560384,0.0206,0.00103,12000,False,False
BNB-USD-LINK-USD,1.5,stress,52,0.23960928088110767,-0.010581229213889256,-2.9282362208454096,0.4460141972066146,0.1346153846153846,-0.4305918711199678,-0.3013501065517673,0.07725000000000001,0.0824,0.0012639573686560384,0.0412,0.00103,12000,False,False
ETH-USD-LINK-USD,2.25,base,51,0.6867752897756639,-0.004080469099231219,-0.4760191947315921,0.32947437320427775,0.4117647058823529,-0.21574937543277528,-0.09862110294217608,0.0505,0.040400000000000005,0.026683685239123858,0.020200000000000003,0.00101,23999,False,False
