rank,pair_id,asset_x,asset_y,selector_score,candidate_trades_24h,candidate_volume_24h,candidate_oracle_price,fetch_command,request_template_command,sample_size_note,notes
48,sol_wlfi,SOL-USD,WLFI-USD,2.874313,269.0,3456.2993,0.0576571537,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y WLFI-USD --pair-id sol_wlfi --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y WLFI-USD --pair-id sol_wlfi --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
49,btc_tao,BTC-USD,TAO-USD,2.869342,242.0,3934.0074,212.1915892,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y TAO-USD --pair-id btc_tao --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y TAO-USD --pair-id btc_tao --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
50,eth_tao,ETH-USD,TAO-USD,2.869342,242.0,3934.0074,212.1915892,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y TAO-USD --pair-id eth_tao --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y TAO-USD --pair-id eth_tao --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
51,sol_tao,SOL-USD,TAO-USD,2.869342,242.0,3934.0074,212.1915892,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y TAO-USD --pair-id sol_tao --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y TAO-USD --pair-id sol_tao --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
52,btc_sei,BTC-USD,SEI-USD,2.868831,229.0,4259.7569,0.0531918081,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y SEI-USD --pair-id btc_sei --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y SEI-USD --pair-id btc_sei --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
53,eth_sei,ETH-USD,SEI-USD,2.868831,229.0,4259.7569,0.0531918081,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y SEI-USD --pair-id eth_sei --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y SEI-USD --pair-id eth_sei --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
54,sol_sei,SOL-USD,SEI-USD,2.868831,229.0,4259.7569,0.0531918081,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y SEI-USD --pair-id sol_sei --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y SEI-USD --pair-id sol_sei --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
55,btc_atom,BTC-USD,ATOM-USD,2.863231,66.0,26239.116,1.589637818,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y ATOM-USD --pair-id btc_atom --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y ATOM-USD --pair-id btc_atom --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
56,eth_atom,ETH-USD,ATOM-USD,2.863231,66.0,26239.116,1.589637818,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y ATOM-USD --pair-id eth_atom --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y ATOM-USD --pair-id eth_atom --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
57,sol_atom,SOL-USD,ATOM-USD,2.863231,66.0,26239.116,1.589637818,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y ATOM-USD --pair-id sol_atom --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y ATOM-USD --pair-id sol_atom --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
