strategy_id,strategy_name,pair,required_trades,status,base_trades,stress_trades,base_observations,stress_observations,base_multiplier,stress_multiplier,pair_multiplier,missing_cost_buckets,notes
2,ZScore + ECM,ETH-USD-WLFI-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,ETHUSDT-SOLUSDT,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,MATIC-USD-ARB-USD,100,gap,0,0,11952,11952,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-ADA-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-ALGO-USD,100,gap,0,0,400,400,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-APE-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-APT-USD,100,gap,0,0,200,200,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-ASTER-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-AVAX-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-BCH-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-BNB-USD,100,gap,0,0,400,400,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-DOT-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-ENA-USD,100,gap,0,0,12000,12000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-ETC-USD,100,gap,0,0,99,99,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-HYPE-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-INJ-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-JUP-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-LINK-USD,100,gap,0,0,59987,59987,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-NEAR-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-ONDO-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-PENGU-USD,100,gap,0,0,400,400,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-PEPE-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-TAO-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-WLD-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
2,ZScore + ECM,SOL-USD-WLFI-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
3,ZScore + Copula,SOL-USD-JUP-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
3,ZScore + Copula,SOL-USD-PEPE-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,AAVE-USD-UNI-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ARB-USD-OP-USD,100,gap,0,0,11952,11952,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BNB-USD-LINK-USD,100,gap,0,0,12000,12000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-ADA-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-ALGO-USD,100,gap,0,0,400,400,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-APE-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-APT-USD,100,gap,0,0,200,200,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-ASTER-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-ATOM-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-AVAX-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-BCH-USD,100,gap,0,0,12024,12024,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-BNB-USD,100,gap,0,0,400,400,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-BONK-USD,100,gap,0,0,98,98,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-DOT-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-ENA-USD,100,gap,0,0,12000,12000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-ETC-USD,100,gap,0,0,99,99,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-ETH-USD,100,gap,0,0,12000,12000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-FIL-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-HYPE-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-INJ-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-JTO-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
