pair,regime,observations,observation_share
ETH-USD-LINK-USD,range,10614,0.17743822929552977
ETH-USD-LINK-USD,crisis,8973,0.1500050152128122
ETH-USD-MKR-USD,bull,49,0.49
ETH-USD-MKR-USD,bear,34,0.34
ETH-USD-MKR-USD,crisis,16,0.16
ETH-USD-MKR-USD,range,1,0.01
ETH-USD-MKR-USD,range,3653,0.30563922356091033
ETH-USD-MKR-USD,bear,3416,0.285809906291834
ETH-USD-MKR-USD,bull,3090,0.25853413654618473
ETH-USD-MKR-USD,crisis,1793,0.15001673360107096
ETH-USD-NEAR-USD,range,600,0.6
ETH-USD-NEAR-USD,bull,197,0.197
ETH-USD-NEAR-USD,bear,122,0.122
ETH-USD-NEAR-USD,crisis,81,0.081
ETH-USD-ONDO-USD,range,796,0.796
ETH-USD-ONDO-USD,crisis,120,0.12
ETH-USD-ONDO-USD,bear,54,0.054
ETH-USD-ONDO-USD,bull,30,0.03
ETH-USD-PENGU-USD,range,172,0.86
ETH-USD-PENGU-USD,bull,25,0.125
ETH-USD-PENGU-USD,bear,3,0.015
ETH-USD-PENGU-USD,range,321,0.8025
ETH-USD-PENGU-USD,bull,37,0.0925
ETH-USD-PENGU-USD,bear,21,0.0525
ETH-USD-PENGU-USD,crisis,21,0.0525
ETH-USD-PEPE-USD,range,100,1.0
ETH-USD-POL-USD,range,463,0.463
ETH-USD-POL-USD,bull,263,0.263
ETH-USD-POL-USD,bear,142,0.142
ETH-USD-POL-USD,crisis,132,0.132
ETH-USD-SOL-USD,range,43,1.0
ETH-USD-SOL-USD,range,10209,0.85075
ETH-USD-SOL-USD,crisis,1704,0.142
ETH-USD-SOL-USD,bear,47,0.003916666666666666
ETH-USD-SOL-USD,bull,40,0.0033333333333333335
ETHUSDT-SOLUSDT,bear,416,0.416
ETHUSDT-SOLUSDT,bull,329,0.329
ETHUSDT-SOLUSDT,crisis,145,0.145
ETHUSDT-SOLUSDT,range,110,0.11
ETHUSDT-SOLUSDT,range,895,0.895
ETHUSDT-SOLUSDT,bear,42,0.042
ETHUSDT-SOLUSDT,crisis,37,0.037
ETHUSDT-SOLUSDT,bull,26,0.026
ETH-USD-SOL-USD,bear,207,0.41317365269461076
ETH-USD-SOL-USD,bull,167,0.3333333333333333
ETH-USD-SOL-USD,crisis,65,0.12974051896207583
ETH-USD-SOL-USD,range,62,0.12375249500998003
ETH-USD-SOL-USD,range,4610,0.9145010910533624
ETH-USD-SOL-USD,crisis,325,0.06447133505256894
ETH-USD-SOL-USD,bull,88,0.017456853798849436
ETH-USD-SOL-USD,bear,18,0.0035707200952192026
ETH-USD-TAO-USD,range,446,0.446
ETH-USD-TAO-USD,bull,236,0.236
ETH-USD-TAO-USD,bear,184,0.184
ETH-USD-TAO-USD,crisis,134,0.134
ETH-USD-TIA-USD,range,739,0.739
ETH-USD-TIA-USD,crisis,117,0.117
ETH-USD-TIA-USD,bear,77,0.077
ETH-USD-TIA-USD,bull,67,0.067
ETH-USD-TRUMP-USD,range,490,0.49
ETH-USD-TRUMP-USD,bear,212,0.212
ETH-USD-TRUMP-USD,bull,187,0.187
ETH-USD-TRUMP-USD,crisis,111,0.111
ETH-USD-WLD-USD,range,741,0.741
ETH-USD-WLD-USD,bull,133,0.133
ETH-USD-WLD-USD,crisis,64,0.064
ETH-USD-WLD-USD,bear,62,0.062
ETH-USD-WLFI-USD,range,903,0.903
ETH-USD-WLFI-USD,bear,40,0.04
ETH-USD-WLFI-USD,bull,31,0.031
ETH-USD-WLFI-USD,crisis,26,0.026
MATIC-USD-ARB-USD,range,80,0.8
MATIC-USD-ARB-USD,bull,20,0.2
MATIC-USD-ARB-USD,range,11910,0.9964859437751004
MATIC-USD-ARB-USD,bull,42,0.0035140562248995983
SOL-USD-ADA-USD,range,100,1.0
SOL-USD-ALGO-USD,range,159,0.795
SOL-USD-ALGO-USD,bull,36,0.18
SOL-USD-ALGO-USD,bear,5,0.025
SOL-USD-APE-USD,range,100,1.0
SOL-USD-APT-USD,range,87,0.435
SOL-USD-APT-USD,bull,54,0.27
