pair,threshold,cost_bucket,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,observations,passes_trade_gate,passes_quality_gate
ETH-USD-SOL-USD,1.0,base,76,0.458961203251908,-0.004814318014721045,-1.6283409182232218,0.3317809128985578,0.39473684210526316,-0.3190835050749614,-0.18820032972544598,0.0755,0.0604,0.007787821461274595,0.0302,0.00151,12000,False,False
ETH-USD-SOL-USD,1.0,stress,76,0.3515240883133917,-0.0065031338041947285,-2.1667624466796473,0.4126063905906009,0.3026315789473684,-0.4014448174544645,-0.18820032972544598,0.11324999999999999,0.1208,0.007787821461274595,0.0604,0.00151,12000,False,False
BTC-USD-LINK-USD,2.0,base,74,0.8600637262723376,-0.0011104269381529348,-0.24175694674415957,0.2575291159544728,0.4864864864864865,-0.09810973933527367,0.07249627178307039,0.07350000000000001,0.058800000000000005,0.009664156153783507,0.029400000000000003,0.00147,23999,False,False
BTC-USD-LINK-USD,2.0,stress,74,0.6836586571387259,-0.002798940451666448,-0.6014248655569518,0.29241083249682037,0.4189189189189189,-0.20449467659120635,0.07249627178307039,0.11025000000000001,0.11760000000000001,0.009664156153783507,0.058800000000000005,0.00147,23999,False,False
BNB-USD-LINK-USD,1.0,base,72,0.26418989866414483,-0.007803507006351453,-3.044332875770171,0.4463799607041067,0.1527777777777778,-0.43691620324414693,-0.3120354518341206,0.07150000000000001,0.05720000000000001,0.04062937240422925,0.028600000000000004,0.0014300000000000003,12000,False,False
BNB-USD-LINK-USD,1.0,stress,72,0.17650773335525374,-0.010614454213266835,-3.991436356285319,0.5473174297744087,0.06944444444444445,-0.5405323871380885,-0.3120354518341206,0.10725000000000001,0.11440000000000002,0.12146757130213687,0.05720000000000001,0.0014300000000000003,12000,False,False
BTC-USD-SOL-USD,1.0,base,70,1.2238937980508193,0.001202207178960923,0.4454214639564822,0.10611294011092887,0.44285714285714284,0.07371624190474657,0.25550041183324335,0.0695,0.055600000000000004,0.0019212674039307326,0.027800000000000002,0.0013900000000000002,12000,False,False
BTC-USD-SOL-USD,1.0,stress,70,0.9241178802085451,-0.00048564996389622016,-0.17736047424801615,0.1401780132892877,0.35714285714285715,-0.0463009112081495,0.25550041183324335,0.10425000000000001,0.11120000000000001,0.0019212674039307326,0.055600000000000004,0.0013900000000000002,12000,False,False
ETH-USD-SOL-USD,1.2,base,70,0.5056907945095327,-0.00457294100223913,-1.4258342262949972,0.3004532816557294,0.4142857142857143,-0.28716059046217923,-0.16141454433497915,0.0695,0.0556,0.007787821461274595,0.0278,0.0013900000000000002,12000,False,False
ETH-USD-SOL-USD,1.2,stress,70,0.39152651768939484,-0.006260798145096274,-1.9252308923149755,0.37873513629912536,0.35714285714285715,-0.36692994621528796,-0.16141454433497915,0.10425000000000001,0.1112,0.007787821461274595,0.0556,0.0013900000000000002,12000,False,False
BTC-USD-ETH-USD,0.8,base,68,0.9377718894633413,-0.00033341109471310556,-0.13319635764785917,0.12076049995086988,0.36764705882352944,-0.03270304038513905,0.1333779194752367,0.0675,0.054000000000000006,0.008446549160628796,0.027000000000000003,0.0013500000000000003,12000,False,False
BTC-USD-ETH-USD,0.8,stress,68,0.6900806270091431,-0.002020911094713105,-0.794595842557657,0.1936736158011454,0.29411764705882354,-0.1378655001274801,0.1333779194752367,0.10125,0.10800000000000001,0.008446549160628796,0.054000000000000006,0.0013500000000000003,12000,False,False
ETH-USD-LINK-USD,2.0,base,67,0.5948125197541865,-0.005247376699496052,-0.8037568520403795,0.4042483773683266,0.3880597014925373,-0.3205951726431808,-0.1806090098365638,0.0665,0.0532,0.039271581032269506,0.0266,0.00133,23999,False,False
ETH-USD-LINK-USD,2.0,stress,67,0.5046234433271043,-0.006934690132331874,-1.053914967803231,0.463389435412462,0.373134328358209,-0.39355992869952183,-0.1806090098365638,0.09975,0.1064,0.039271581032269506,0.0532,0.00133,23999,False,False
BTC-USD-LINK-USD,2.2,base,66,0.81457794930295,-0.0016932191858849244,-0.3290761821219185,0.28826446227376673,0.4090909090909091,-0.12436531616111701,0.022906473736582944,0.0655,0.0524,0.009664156153783507,0.0262,0.0013100000000000002,23999,False,False
BTC-USD-LINK-USD,2.2,stress,66,0.6660854687171274,-0.0033803403980061366,-0.6492114565956054,0.34952641572759346,0.4090909090909091,-0.21703434073714478,0.022906473736582944,0.09825,0.1048,0.009664156153783507,0.0524,0.0013100000000000002,23999,False,False
BTC-USD-SOL-USD,1.2,base,60,1.158501105287233,0.0009614841769513291,0.3052038353017015,0.10519658031590659,0.43333333333333335,0.045658478005361935,0.19586155821084072,0.0595,0.0476,0.0019210557557696106,0.0238,0.00119,12000,False,False
BTC-USD-SOL-USD,1.2,stress,60,0.8974122130998979,-0.0007243491563820037,-0.22685052691920188,0.14404538467188244,0.38333333333333336,-0.055275253933679824,0.19586155821084072,0.08925000000000001,0.0952,0.0019210557557696106,0.0476,0.00119,12000,False,False
ETH-USD-SOL-USD,1.4,base,60,0.6100605643565717,-0.0033822489935653667,-0.9051042470796818,0.2664800393268766,0.45,-0.19850230295086502,-0.0778649340204548,0.0595,0.0476,0.007787821461274595,0.0238,0.0011900000000000003,12000,False,False
ETH-USD-SOL-USD,1.4,stress,60,0.47433079091612435,-0.0050680823268987,-1.3400183894053352,0.33510335094243926,0.38333333333333336,-0.2759363844119499,-0.0778649340204548,0.08925,0.0952,0.007787821461274595,0.0476,0.0011900000000000003,12000,False,False
BNB-USD-LINK-USD,1.2,base,60,0.2768251507872667,-0.00842379662541412,-2.7594608523339095,0.41541192612632305,0.13333333333333333,-0.40411616985577803,-0.2912366982394414,0.0595,0.0476,0.04062937240422925,0.0238,0.00119,12000,False,False
BNB-USD-LINK-USD,1.2,stress,60,0.18592208349332853,-0.011456933273712581,-3.6410064716795776,0.511303640141932,0.08333333333333333,-0.5036533446642182,-0.2912366982394414,0.08925,0.0952,0.12146757130213687,0.0476,0.00119,12000,False,False
BNB-USD-LINK-USD,1.4,base,56,0.24802474117120604,-0.009487204460087282,-2.905413180880246,0.43031083741619436,0.125,-0.41930296671524625,-0.3154336612330342,0.05550000000000001,0.04440000000000001,0.04062937240422925,0.022200000000000004,0.00111,12000,False,False
BNB-USD-LINK-USD,1.4,stress,56,0.16609682668956224,-0.012615565154692773,-3.754025523667361,0.5204882164008438,0.07142857142857142,-0.5129817008404567,-0.3154336612330342,0.08325,0.08880000000000002,0.12146757130213687,0.04440000000000001,0.00111,12000,False,False
ETH-USD-LINK-USD,2.2,base,53,0.5669093084958173,-0.006478267623073281,-0.7850321471656648,0.41125464214372265,0.3584905660377358,-0.31497831213381966,-0.1991224680356517,0.052500000000000005,0.041999999999999996,0.039271581032269506,0.020999999999999998,0.0010500000000000002,23999,False,False
ETH-USD-LINK-USD,2.2,stress,53,0.490902767160288,-0.008162229887224225,-0.9820878976238097,0.4530114049618668,0.3584905660377358,-0.37378664375886883,-0.1991224680356517,0.07875,0.08399999999999999,0.039271581032269506,0.041999999999999996,0.0010500000000000002,23999,False,False
BTC-USD-SOL-USD,1.4,base,52,1.021646896032558,0.00014052812445492521,0.03868013834711304,0.1323828252867089,0.4230769230769231,-0.0057057135439810835,0.11708655154782788,0.051500000000000004,0.0412,0.0019210557557696106,0.0206,0.00103,12000,False,False
BTC-USD-SOL-USD,1.4,stress,52,0.7940142502991527,-0.00154312572169892,-0.41963540292130896,0.17004890990952412,0.38461538461538464,-0.08934670998698102,0.11708655154782788,0.07725000000000001,0.0824,0.0019210557557696106,0.0412,0.00103,12000,False,False
ETH-USD-SOL-USD,1.6,base,50,0.7986345525945915,-0.001856591269715453,-0.41495272275351625,0.18998999548122947,0.44,-0.10513437939948367,0.00686744952942564,0.0495,0.039599999999999996,0.007787821461274595,0.019799999999999998,0.0009900000000000002,12000,False,False
ETH-USD-SOL-USD,1.6,stress,50,0.6545016798538195,-0.0035395912697154526,-0.7836112471447679,0.2443842715140351,0.36,-0.17764796499244362,0.00686744952942564,0.07425,0.07919999999999999,0.007787821461274595,0.039599999999999996,0.0009900000000000002,12000,False,False
