combo_name,pair,families,strategies,component_count,total_trades,median_profit_factor,median_sharpe,worst_drawdown,eligible_rows
combo_2way_42,BTC-USD-SOL-USD,ml;zscore,Feature Importance Model;Classic ZScore Mean Reversion,2,118,0.0,-0.5299254807978149,0.2575112374854235,0
combo_2way_42,SOL-USD-LINK-USD,ml;zscore,Feature Importance Model;Classic ZScore Mean Reversion,2,22,0.0,-0.6167140240387389,0.07193196906596552,0
combo_2way_43,BTC-USD-SOL-USD,portfolio;regime,Pair Ranking Strategy;KMeans Regime Model,2,86,0.0,-0.5402320438257499,0.25198594387995527,0
combo_2way_43,SOL-USD-LINK-USD,portfolio;regime,Pair Ranking Strategy;KMeans Regime Model,2,10,0.0,0.0,0.046819709109089884,0
combo_2way_44,BTC-USD-SOL-USD,portfolio;zscore,Pair Ranking Strategy;Classic ZScore Mean Reversion,2,118,0.0,-0.5299254807978149,0.2575112374854235,0
combo_2way_44,SOL-USD-LINK-USD,portfolio;zscore,Pair Ranking Strategy;Classic ZScore Mean Reversion,2,22,0.0,-0.6167140240387389,0.07193196906596552,0
combo_2way_45,BTC-USD-SOL-USD,regime;zscore,KMeans Regime Model;Classic ZScore Mean Reversion,2,204,0.264999005017395,-1.8657570707464677,0.2575112374854235,0
combo_2way_45,SOL-USD-LINK-USD,regime;zscore,KMeans Regime Model;Classic ZScore Mean Reversion,2,32,0.11642146405694118,-1.7032854840174643,0.07193196906596552,0
combo_3way_100,BTC-USD-SOL-USD,composite;mean_reversion;ml,Composite Quant Score;Hurst Filter;Feature Importance Model,3,34,0.0,0.0,0.23415871402374777,0
combo_3way_100,SOL-USD-LINK-USD,composite;mean_reversion;ml,Composite Quant Score;Hurst Filter;Feature Importance Model,3,0,0.0,0.0,0.0,0
combo_3way_101,BTC-USD-SOL-USD,composite;mean_reversion;portfolio,Composite Quant Score;Hurst Filter;Pair Ranking Strategy,3,34,0.0,0.0,0.23415871402374777,0
combo_3way_101,SOL-USD-LINK-USD,composite;mean_reversion;portfolio,Composite Quant Score;Hurst Filter;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_102,BTC-USD-SOL-USD,composite;mean_reversion;regime,Composite Quant Score;Hurst Filter;KMeans Regime Model,3,120,0.2826611646069673,-1.1602192432928917,0.25198594387995527,0
combo_3way_102,SOL-USD-LINK-USD,composite;mean_reversion;regime,Composite Quant Score;Hurst Filter;KMeans Regime Model,3,10,0.0,0.0,0.046819709109089884,0
combo_3way_103,BTC-USD-SOL-USD,composite;mean_reversion;zscore,Composite Quant Score;Hurst Filter;Classic ZScore Mean Reversion,3,152,0.5584279534142295,-1.1479605809858282,0.2575112374854235,0
combo_3way_103,SOL-USD-LINK-USD,composite;mean_reversion;zscore,Composite Quant Score;Hurst Filter;Classic ZScore Mean Reversion,3,22,0.0,0.0,0.07193196906596552,0
combo_3way_104,BTC-USD-SOL-USD,composite;ml;portfolio,Composite Quant Score;Feature Importance Model;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_104,SOL-USD-LINK-USD,composite;ml;portfolio,Composite Quant Score;Feature Importance Model;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
